,원문,번역문
16,마치 목욕탕 창구처럼 보일까말까 한 작은 구멍으로 내가 돈을 주면 그 여자가 교통카드를 충전시켜주었던 기억이 납니다.,"I remember that the person recharged my transportation card when I gave her money through a tiny hole, just like the ticket office for the public bath. <END>"
17,문화뿐만 아니라 그 나라만의 독특한 사회 전체의 유기적 관계를 알 수 있습니다.,"Not only the culture, but we can also learn about the unique organic relationships in the entire society. <END>"
18,"얼마 전 가진 A사와의 회의 결과, 본계약의 계약 시점은 약간 지연된다고 합니다.","As a result of the meeting with A company that we recently had, the contract time will be postponed a bit. <END>"
19,에어비앤비 투어 서비스를 운영자의 프로필 사진을 촬영하고 이야기를 정리해 사이트에 소개하려해요.,I would take pictures of tour administrators and arrange their stories and introduce them to the website. <END>
20,"이 제품을 사용할 때 예기치 않은 추락의 경우를 고려하면, 안전을 생각하여 잔디밭이 필요합니다.","Also, this product needs a grass field for safety considering unexpected falls. <END>"
21,익스프레스 수분 마스크는 생기와 활력을 불어넣어 빛나는 피부를 선사해줘요.,Express moisture mask that presents radiant skin to give vigor and vitality. <END>
22,저는 전 주 문건에 대해서는 어떻게 취소를 해야 할지 모르겠습니다.,I don’t know how to cancel the orders I have previously made. <END>
23,저희 섹시 큐트 메이크업 머신을 사용할 때 2분에서 5분 정도의 시간이 소요돼요.,It takes 2 to 5 minutes to use our sexy cute makeup machine. <END>
24,정부가 국민의 건강을 챙기는 것은 반드시 해야 할 일이라고 생각해요.,I think it is a must for the government to take care of its people's health. <END>
25,제가 어렸을 때 우연히 TV에서 박지성 선수가 축구 경기를 하는 모습을 보았어요.,I accidentally watched him play soccer on TV when I was very young. <END>
26,제품이 생각보다 훨씬 맘에 듭니다.,The product is much better than I thought. <END>
27,좀 더 확실한 대응과 확인을 위해 A 모델 새 제품 6대를 불량 시료와 함께 보내주길 바랍니다.,I would like you to send six new models of A model together with the defective samples for more reliable response and confirmation. <END>
28,"지난해 대학수학능력시험에서 예술과 인문계 학생 32명, 자연계 학생 1명이 만점을 받았습니다.","32 students from the art and humanity, 1 student from the natural sciences got the perfect score in the College Scholastic Ability Test last year. <END>"
29,청인은 NBP는 키워드 광고대행사 간 기존 광고주의 이동을 제한하는 행위를 중지하고 관련 영업정책을 폐지해야 해요.,Applicant NBP has to stop actions to limit the transfer of existing advertisers between keyword ads agency and abolish the relevant operating policies. <END>
30,추가로 작성해서 내일까지 보내줄게요.,I'll fill it out and send it to you by tomorrow. <END>
31,학교와 너무 멀기 때문에 저는 지금은 기숙사에서 생활하고 있습니다.,"Because the school is too far away, I live in a dormitory. <END>"
32,한국에 오기 전에 은행 카드는 부모님에게 주고 와.,"Before you come in Korea, give the bank card to parents. <END>"
33,한국에 폭설로 인해 비행기가 이륙하지 못하여 배송이 늦어졌습니다.,"Since flights were canceled due to heavy snow in Korea, delivery was delayed. <END>"
34,"항상 당당하고, 잘 웃고 솔선수범한 사원이 되도록 노력하겠습니다.","I will always make my best efforts to become a staff who has a confident mind, a smile on face and take a lead for all kinds of works. <END>"
35,호텔식 고급매트리스와 3~4일에 한 번씩 교체하는 토퍼 및 침구류를 포함한 2개의 싱글 침대가 있습니다.,"There are 2 single beds, including a hotel luxury mattress and a topper and bed linen changing every 3-4 days. <END>"
36,"밑창 주성분은 PVC이고, 겉에 발려진 검정 색상은 다른 물질로 보인다.","The outsole's primary material is PVC, and the black color on the outer seems to be of another material. <END>"
37,우리는 언제나 서로를 사랑하려고 노력해요.,We always try and show our love for each other. <END>
38,"다른 판매자의 상품을 봤는데, 구멍이 있었어요.","I saw another seller's product, and it had some holes. <END>"
39,"""먹방""은 ""먹는 방송""이라는 한국말의 줄임말로 한국 방송계에 혜성처럼 등장한 새로운 트렌드예요.","""Meok-Bang,"" is a short form for a Korean phrase meaning ""Food Show,"" has emerged like a comet to the broadcasting industry of Korea and is now a hot trend. <END>"
40,"""유괴""는 스코틀랜드를 배경으로 한 모험 소설이며 문학적 완성도 또한 높은 소설이에요.","""Kidnapped"" is an adventure story set in Scotland with high literary significance. <END>"
41,"100년 안에 인류가 인공지능을 갖춘 기계에 종속되고, 결국 멸망에 이를 것입니다.",In 100 years human beings would be subordinated to AI and face their ruin. <END>
42,"""A"" 에는 10개의 컴퓨터가 ""준비""되었습니다고 나와 있는데 현재 9개밖에 업데이트 되지 않았습니다.","""A,"" says 10computers are ""ready"" and only 9 are currently updated. <END>"
43,"""A""가 ""D""를 퇴사하면서 관련 사업을 어떻게 정리하였는지는 모릅니다.",We do not know how A concluded the business while resigning from D. <END>
44,"""Auto""는 번역을 도와주기 위해 제공하는 자동번역기능입니다.",“Auto” is an automatic translation function to help provide the translation. <END>
45,"저는 ""rush""를 신청했는데요.","I've signed up for ""rush"". <END>"
46,"""TITLE"" 디자인에 판넬 2번 페이지를 변경해주실 수 있나요?","Could you change panel page no.2 of ""TITLE"" design? <END>"
47,"""TRA""라는 태그의 값에 A로 시작하는 것은, 우리측에서 ""ADY""와 연결되어있습니다.","A thing which starts with A among ""Tra"" tag is connected with ""ADY"" to us. <END>"
48,"""골프가 좋아서""라고 답했지만, 순간 교육적으로 좋은 대답은 아니라고 생각했어요.","Although I said because I love golf, I realized it was not an education-wise good answer. <END>"
49,"""공식 초청 레터"" 받는 데는 얼마나 걸립니까?","How long would the ""official invitation letter"" take? <END>"
50,"""공식 초청 레터""를 받는 데로 비자를 받을 것입니다.","I will get my visa as soon as I receive the "" official invitation letter"". <END>"
51,"""구원""이란 것이 있다면 그것은 늙어가는 축복과 병드는 기쁨 그리고 평화로운 죽음이에요.","If there is such thing as a ""redemption"", it would be a blessing of aging, joy of getting ill, and peaceful death. <END>"
52,"""그들이 키베라의 삶을 월간지로 만들고 있다.",They made a monthly post called life in Kibera. <END>
53,"""길""은 도로라는 뜻이에요.","""Gil"" means road. <END>"
54,"""때로 자신이 원하는 것을 얻지 못하는 것이 행운일 수 있다는 것을 기억해야 합니다.","""Sometimes lucky is what you cannot earn the thing that you want. <END>"
55,"""마이쩡""은 젊은 여성층이 SNS 등에서 많이 쓰는 신조어로, 너무 맛있다는 귀여운 의미입니다.","""Maijjung"" is a neologism that is used a lot by young women on social media, which means it's delicious in a cute way. <END>"
56,"""메모 필요""란에 체크 표시가 되어 있으면 메모가 필수값입니다.","There is a mark in the checkbox of ""is required memo"", the memo is the required value. <END>"
57,"""박근혜 게이트""를 계기로 19대 대선에서 화두로 떠오른 것은 재벌개혁이에요.","It was chaebol reform that came to the fore in the 19th presidential election with the opportunity of ""Park Geun-Hye gate"". <END>"
58,"""발언 확인""이 뭔지 자세히 설명해주면 우리도 컨싸이니 통해서 쉬퍼에게 푸쉬할 수 있도록 할게.","If you can explain in detail what ""remark association"" is, we'll be able to push Schiffer through a concierge. <END>"
59,"""블렌드 모드"", 대상체의 합성모드를 변화시킬 수 있도록 하는 강력한 플러그인에 대한 소개합니다.","Introducing blend mode, a powerful plugin that allows you to change the designated creation mode. <END>"
60,"""비타민 라인""은 당신의 피부에 생기를 가득 채워주며 매끈한 피부결을 주는 산뜻함 그 자체입니다.","""Vitamin Line"" is freshness itself that fills your face with life and makes your skin feeling smooth. <END>"
61,"""사람들이 런웨이에서 제 보석을 보고 2주 뒤에 살 수도 있을 거에요.",People could look at my jewelry on the runway and purchase it in two weeks. <END>
62,"""새로운 그룹"" 터치 하시면 그룹을 만들 수 있어요.","Tap the ""NEW GROUP"" then new group is made. <END>"
63,"""서둘러"", 널 위해서 하는 말이야.","""Hurry up,"" saying this is for you. <END>"
64,"""소셜 여행 서비스 중개사이트"" 투폴라가 전주에 리뉴얼 오픈하였습니다.","Tupola, ""A meditation site for social travel service"", renewal open in Jeonju. <END>"
65,"""아기자기 곰 펀칭이 사랑스러운 파자마!","""Lovely bear patterned pajamas! <END>"
66,"""아카이브""라는 용어는 그리스어에 기원을 두며 두 가지 의미로 사용됩니다.",The term “archive” has originated from Greek and is used for two meanings. <END>
67,"""앵무새 죽이기""라는 제목을 가지고 있는 이 책은 제목만큼이나 책 내용도 잔인해요.","This book, ""To Kill a Mocking Bird"", is as brutal as its title. <END>"
68,"""윷놀이""는 4개의 나무를 던져서 말을 전진 시켜 목표지점까지 도착시키는 전통놀이입니다.","The tradition of our game, ""Yut play"" is about throwing four trees piece, and then move forward by the piece that arriving goals. <END>"
69,"""을""이 ""갑""의 제품을 변조하여 팔았을 때 문제가 됩니다.","It could be a problem when ""Eul"" sells any falsified versions of any of ""Gap""'s products. <END>"
70,"""이렇게 말을 하는 너에게 다른 여자에게서 느낄 수 없는 Chic 한 모습에 많은 매력을 느꼈어.",I was attracted by your somewhat chic looks I could not get from other girls. <END>
71,"""이번 와이드한 영상 프로젝트를 렌더링할 때 문제가 좀 있었습니다.",I had some problems with this wide movie project when I was rendering. <END>
72,"""이주 노동자만 공략할 계획이냐""고 묻자 두 젊은 CEO는 ""당연히 아닙니다.","To the question ""Are you going to focus mainly on immigrant workers?"", two young CEOs answered ""Of course not."" <END>"
73,"""인천에서 행복한 식사"" 책자는 영어와 중국어로 쓰여져 있습니다.","The booklet ""Happy Meal in Incheon"" is written in English and Chinese. <END>"
74,"""저희를 믿지 못하는 건가요?"" 첫째가 덧붙였어요.","""You don't believe in us?"" added the eldest. <END>"
75,"""제주 소년""이라는 애칭으로 더욱 잘 알려진 이 소년은 올해 13살인 오연준 입니다.","This boy, better known by his nickname ""Jeju Boy"", is Yeon-Joon Oh, 13 years old this year. <END>"
76,"""짧은 치마"", ""단발머리"", ""달링"", ""맘마미아"" 의 MP3를 먼저 핸드폰에 저장해주세요.","Download MP3 files for the songs ""Miniskirt"", ""Short Hair"", ""Darling"", and ""Mamma Mia"" into your mobile phone first. <END>"
77,"""처리 중""은 당신의 주문이 완료되었고 인형이 제작 중이라는 것을 의미해요.","""Pending"" means your order is completed and we are making the doll now. <END>"
78,"캐나다에서는 저스틴 트뤼도가 당선된 이후, IS 점령지역에 대한 공습을 중지했습니다.",Canada has stopped bombing IS territories ever since Justin Trudeau was elected. <END>
79,"""콕션""은 제가 올해 3월부터 5개월 동안 꾸준히 진행해 온 프로젝트입니다.","""Koction"" is the project I've been working on from this March to July. <END>"
80,프랑스 세더니 정품인 펩타이드 5 GF입니다.,It is France Sedema Genuine product called Peptide 5GF. <END>
81,"""피부과학 결정체 주름 전용"" 고농축 주름 지우개 연고, 아이크림의 5배 효과!","""The fruit of Skin Science for Wrinkle "" Highly concentrated Wrinkle Eraser Ointment, 5 times the effect of eye cream! <END>"
82,"""해킹""이란 단어는 사용하지 않게 되었습니다.","We are not using the term ""hacking"" anymore. <END>"
83,"""했더니 1초 만에 ""네""라고 1도 고민 안 하고 말해줘서 렌즈를 살 핑계를 얻었다.","And he/she said ""yes"" without thinking for one second so I got an excuse to buy the lens. <END>"
84,"""형태가 기능을 따른다""는 유명한 구절이에요.","""Form follows function"" is a famous phrase. <END>"
85,왕산 캠핑장은 용유도 끝자락에 있습니다.,Wang-san camping site is located in the last part of Yong-yu-do. <END>
86,왕산 해수욕장에는 두 군데의 간이 화장실이 설치되어 있습니다.,There are two temporary toilets in Wang-San Beach. <END>
87,10에서 16까지는 고급스러운 기프트 박스에 포장되어 배송됩니다.,From 10 to 16 will be shipped in a luxurious gift box. <END>
88,18fw프리오더 우리가 주문한 브랜드 컨펌은 언제쯤 확인될까요?,When could we get confirmation on our order for the 18FW preorder? <END>
89,1박 2일은 멋있는 장소를 많이 방문하고 멤버들이 말하는 것이 재미있습니다.,"In One Night Two Days, the members visit many great places and they say a lot of funny things. <END>"
90,2.0*1250*4200mm 제품만 2.0*1200*2500mm으로 보내주시면 될 것 같습니다.,Please send us 2.0*1200*2500mm product instead of 2.0*1250*4200mm one. <END>
91,2004년 아테네올림픽은 고대 도시국가 아테네에 첨단기술을 첨가시켜 기술적으로 탁월한 올림픽이었어요.,"The 2004 Athens Olympics was a technically excellent Olympics by incorporating cutting-edge technology into the ancient city state, Athens. <END>"
92,2014 인천 아시안 게임 권투 경기도 도원 체육관에서 열리나요?,Is the boxing game of the $2014 Incheon Asian game also held in Dowon Stadium in Gyeonggi-do? <END>
93,2017 CARROT 하반기 전체 워크샵이라 쓰고 CARROT SHOW라고도 부릅니다.,It is written as 2017 CARROT second half year general Workshop or called as CARROT SHOW. <END>
94,"2MP B모델은 새로운 펌웨어 적용된 DVR과 테스트를 하지 않았는데, 특별한 이유가 있는 것입니까?","DVR with new firmware applied and test weren't done for 2MP B model, then is there any special reason? <END>"
95,2NE1이 최고의 아이돌 그룹 중 하나라는 것을 입증하듯 그 노래는 극찬을 받았어요.,The song won high praise prooving that 2NE1 is one of the best idol groups. <END>
96,2PM의 닉쿤을 소개합니다.,I introduce Nickoon of 2PM. <END>
97,3 디지털쿡스를 쓴 내용을 PDF 파일로 보내겠습니다.,I will send you PDF file which is about 3 Digital cooks. <END>
98,3M을 대표하는 추진력의 원천 중 첫 번째는 혁신 제도입니다.,The first source of a driving force that represents 3M is the innovation policy. <END>
99,3R에 부착했던 트랜스는 그대로 새 3R에 설치하여 사용하셔야 합니다.,"For the trans connected with 3R, just install it on the new 3R to use. <END>"
100,44C 수송 마지막 날짜를 12월 20일로 수정해주세요.,Please amend 44C latest date of shipment to December 20th. <END>
101,4tomatic은 재미있게 4컷 사진을 찍을 수 있는 사진 촬영 부스를 닮은 카메라 앱입니다.,4tomatic is a photo booth camera application that makes taking 4-frame photos fun for you. <END>
102,700TVL 다음으로 바로 나온 모델은 1000TVL CMOS 제품입니다.,The model that was released right after 700TVL is product 1000TVL CMOS. <END>
103,85ea의 정상적인 상품이 현재 판매가 되지 않고 있어서 문의드립니다.,I'm writing to inquire about the fact that product 85ea is not currently being sold. <END>
104,A 국가에서는 일반적으로 연말 연시에 인원수급이 더욱 어려워 단기간에 상황이 개선될 것 같지않습니다.,"A nation generally has much more difficulty with the supply and demand of employees in the year-end and the beginning of the year, so the situation doesn't seem to get better in the short run. <END>"
105,"A 서비스 말고, 다른 서비스에서 API를 사용하는 것에 대해 문의가 있었습니다.",There was an inquiry regarding using API on other service rather than service A. <END>
106,A 원단을 사용할경우 1공정과 2공정을 거쳐야하는데 이경우에는 가격이 비싸집니다.,"If using the A material, since we have to go through 1st process and 2nd process, the cost will increases. <END>"
107,A는 2016년 6월 선전시와 50km 운행거리의 경전철 수주에 성공하며 사업에 속도를 내고 있습니다.,"A, succeeding in wining the orders in Shēnzhèn to build a 50 km long light rail system in June of 2016, is boosting their business. <END>"
108,"A는 오늘 예방접종을 하러 병원을 갔는데, 저 때까지 주사 맞는지 모르고 기분이 엄청 좋았어요.","A visited the doctor for vaccination today, but he did not know he was getting an injection, so he was feeling so good. <END>"
109,"A를 통해, B 베트남 공장에서 156C제품 신규 프로모션을 계획하고 있다고 전해 들었습니다.",I heard from A that you are planning new promotion of 156C products at B Vietnam factory. <END>
110,AA 덕분에 2017년은 저에게 아주 의미있는 한 해로 기억될 것 같아요.,"Thanks to AA, I think 2017 can be remembered as a significant year to me. <END>"
111,ABC 컴퍼니의 생산일정에 맞춰 선적 우선순위를 지정해 주세요.,Please prioritize the shipment according to the production schedule of ABC company. <END>
112,Air Jordan을 구하고 싶은데 어디로 가야 해?,Where can I get Air Jordan? <END>
113,ALLDAYS 캘린더를 설정하고 D5W3를 넣었을 때 20일로 스케줄 되어야 하는게 아닌가요?,Isn't it supposed to be scheduled on 20th when I put D5W3 after setting ALLDAYS calendar? <END>
114,Any color 1야드 샘플은 다음 주 월요일에 에이전시를 통해 발송을 하겠습니다.,I will send you 1 yard of Any color sample on next Monday through the agency. <END>
115,Apache commons-collection Library 사용 여부 확인이 필요합니다.,You need to confirm that you're using the Apache commons-collections Library . <END>
116,ASD와 AS는 같은 직물입니다.,ASD is the same fabric with AS. <END>
117,"Ashamd Hassan 또는 그의 부모님의 은행잔고증명서에는 3개월 예치금 9,000불 이상이 적혀있습니다.","There is a bank certificate of deposit balance of Ashamd Hassan or his parent, which is over 9000$ and deposited over 3 months. <END>"
118,ASML은 최고의 기술력을 바탕으로 사원의 성장을 중요시하는 기업입니다.,ASML is a company that puts emphasis on the growth of employees based on the best technology. <END>
119,ASML의 고객 서비스 기술자 직무는 엔지니어로서 ‘성장'할 수 있는 기회를 제공합니다.,ASML's CS-engineer role provides an opportunity to 'grow' as an engineer. <END>
120,"Avengers 시리즈의 경우, 에피소드가 다양하고 또 지속해서 출시되어 시간이 지나도 계속 즐길 수 있다는 장점이 있습니다.","In case of the Avengers series, they have the merit of various episodes and continuous release which allow us to keep enjoying the movie. <END>"
121,B/L에 이 문장을 보여줄 수 없는 이유를 설명해 줄 수 있습니까?,Could you explain the reason why you can't show this sentence to B/L? <END>
122,B/L을 확인해 주세요.,Please check the B/L. <END>
123,B1A4는 우리 마음속에서 영원할 거예요.,B1A4 will be forever in our hearts. <END>
124,Baltimore Jazz Alliance를 소개하면서 볼티모어 재즈의 역사를 소개해요.,We could introduce the history of Baltimore's jazz while announcing the Baltimore Jazz Alliance. <END>
125,Banada 앱의 인증화면에서 아래의 번호를 입력 후 확인 버튼을 눌러주세요.,Please enter the number below into the authentication screen of Banada app and press confirmation button. <END>
126,"BARBAREIAN H는 해저심층수, 청정 해역의 마린 클레이, 해초 등을 사용한 남성 두피케어 및 헤어스타일링 제품입니다.","BARBAREIAN H is men's heart care and hear styling product made with deep seawater, marine clay from clean sea areas, and seaweed. <END>"
127,BBC에서는 지금 뭘 하려나?,I'm wondering what the BBC are doing at the moment? <END>
128,BDD 증후군은 정상적인 용모를 가졌음에도 자신의 외모에 심각한 결점이 있다고 여기는 정신질환입니다.,"BDD syndrome is a mental illness that considers serious flaws in one's appearance, despite it's normal. <END>"
129,Bebot 에게 안부 전해주길 바라.,Please give my regards to Bebot. <END>
130,Belly board를 사용하지 않았을 때 BMI가 24 이상인 경우 3.9배 높습니다.,"If you don't use Belly board and BMI is more than or equal to 24, it is 3.8 times higher. <END>"
131,Bi-Fold 는 '접다'와 '자전거'를 합친 신조어로서 직장을 위한 접이식 휴대용 자전거예요.,A Bi-Fold is a neologism that combines ‘folding’ and ‘bike’ which refers to a portable folding bike for office workers. <END>
132,참석자 명단을 받으려면 어느 부서에 가야하나요?,Where should I go to get the participant list? <END>
133,BitPet 오픈 후 응모한 이메일로 가입해야 경품이 지급됩니다.,"After you open BitPet, you will need to sign up by email to apply for the prize. <END>"
134,BJD의 복제품은 많은 아티스트들과 회사를 슬프게 만드는 일이에요.,BJD's replicas make a lot of artists and companies sad. <END>
135,BL번호가 있는지 컴퓨터에 확인해주세요.,Please check the PC if there is BL number. <END>
136,BMW는 뻔뻔하게 우리에게 이 프로젝트를 맡겼습니다.,BMW has had the audacity to entrust us with this project. <END>
137,bmw와 폭스바겐 공장 투어 시 body shop line을 볼 수 있는지 문의드립니다.,I would like to know if the factory tour of BMW and Volkswagen includes body shop line. <END>
138,Bora 542009을 구매하려는데 레일은 어떤 걸 사야 호환이 되나요?,"I am now trying to buy Bora 542009, and which rail should I buy for it to be useable? <END>"
139,BTS와 팬들은 하나입니다.,BTS and fans are the one. <END>
140,Bulpan은 하루에 한 번만 쓸 수 있답니다.,BulPan can be used only once a day. <END>
141,BulPan이 뭔지 아는 사람 있어요?,Does anyone know what BulPan is? <END>
142,c는 결혼은 자신의 삶을 경제적으로 안정되게 할 수단이라고 생각해요.,C thinks marriage is a method to financially stabilize his life. <END>
143,C는 최근 트윗에서 트럼프 정부와 협상을 통해 구두 승인을 받았음을 알렸습니다.,C has tweeted recently that they had a verbal approval from the Trump government. <END>
144,Casa Vicens의 울타리는 야자나무 잎사귀를 본뜬 모양으로 독특함을 자랑합니다.,Casa Vincens's fence is shaped like a leaf of a palm tree and has its uniqueness. <END>
145,CCM에서 게이트웨이 및 Control-M/Server 를 삭제하고 다시 생성하라고 하는건가요?,"In CCM, are they saying to delete gateway and Control-M/Server and regenerate them? <END>"
146,Celestial Tribe에게 환불 요청을 하였으나 그는 수개월 째 답변을 주지 않고 있습니다.,I requested the refund to Celestial Tribe but haven't got any reply over the last few months. <END>
147,CELLUV은 당신이 한류열풍을 서핑할 수 있도록 돕습니다.,CELLUV helps you surf the K-wave! <END>
148,cmr_dblog 테이블에 데이터가 얼마나 증가하면 문제가 있다고 봐야 하나요?,How much increase in data on cmr_dblog table would mean a problem? <END>
149,"CNEE 는 환불을 진행키를 원하지 않으며, 송하인 측이 이 문제를 해결하길 원해요.","CNEE does not want to process the refund, but they want the shipper to solve this problem. <END>"
150,Cold Shoe 관련 자료를 찾아보았습니다.,I have searched about Cold Shoe. <END>
151,Com으로 관련 메일을 보내주시면 됩니다.,You can sedn the related mail through Com. <END>
152,Com은 아시아 시장 진출을 준비하고 있습니다.,Com is being prepared to enter the Asian market. <END>
153,Control-M DB를 아카이브 모드로 변경하고 SRDF로 복제해도 괜찮나요?,Is there no problem when changing Control-M DB to archive mode and copy it with SRDF? <END>
154,Control-M v7에서 v9로 업그레이드할때 파라미터 변경이 있나요?,Is there a change of parameters after upgrading to v9 from Control-M v7? <END>
155,Control-M/Server v7에 Control-M/agent v8을 연결해서 사용하고 있습니다.,I'm using Control-M/Server v7 and Control-M/agent v8 together. <END>
156,Couchgram을 찾아 켜세요.,Find Couchgram and turn it on. <END>
157,CTM 서버의 NS 로그에도 해당 시간대에 발생한 로그는 확인되지 않았습니다.,The CTM server's NS log also has not been verified for that time zone. <END>
158,CV의 주최 회사였던 Fix Swift가 내가 선호하는 회사의 형태입니다.,"Fix Swift, the host company of CV, is one of the companies I prefer. <END>"
159,D&E 투어 9번째 공연은 후쿠오카에서 진행돼요.,D&E's 9th concert tour is held Fukuoka. <END>
160,Dark Mocha skin은 11월부터 3월까지만 판매가 되는 스킨이에요.,The Dark Mocha skin is a skin that is only sold from November to March. <END>
161,Dark mocha는 11월 겨울 이벤트 때 다시 판매될 거예요.,Dark mocha will be sold again at the Winter event in November. <END>
162,DDO는 특이하게도 빨간 눈이에요.,DDO has unusually red eyes. <END>
163,DDP에서 스킵플로어를 찾아보기 쉬운 장소는 둘레길이라는 장소입니다.,Dulle-gil in DDP is an easy place to find the Skip floor. <END>
164,DG FEE도 항공사에서 청구하는 운임이므로 A/F에 포함되어 있습니다.,The airline also charged DG FEE so it is included in A/F. <END>
165,Director Nam을 만나고 자세한 사항은 이야기 나누도록 하겠습니다.,I will discuss the details after I meet Director Nam. <END>
166,DIVEROID mini의 보급과 함께 DIVEROID app도 또한 함께 보급 될 것입니다.,"With the supply of DIVEROID mini, the DIVEROID app will also be distributed. <END>"
167,DOTW 하위에 여러 여행사를 통해 판매를 진행하는 경우 해당 출처를 통해 구분하게 됩니다.,"If you are selling through multiple travel agencies below DOTW, you will be distinguished by the source concerned. <END>"
168,DR에 베리타스 솔루션으로 운영 Control-M 디렉토리를 복제하였습니다.,I copied operating Control-M directory to DR as a Veritas solution. <END>
169,Dr. Kim을 위해 좋은 지도교수가 있으면 추천 해 주셔도 좋습니다.,And it will be great if you can recommend a good adviser for Dr. Kim. <END>
170,E에게 다가가는 B를 목격했어요.,I saw B approaching E. <END>
171,ECPM이 높은 매체 중 국가들까지 세부적으로 나누어서 선정되는지 궁금해요.,I want to know if the countries are divided into details among the media with high ECPM. <END>
172,Elaan of Troyius는 베트남의 우화를 보여줍니다.,Elaan of troyius shows Vietnamese allegory. <END>
173,Elaan of Troyius는 서로의 행성을 귀해 결혼이라는 관습을 행하는 것에 관한 이야기입니다.,Elaan of Troyius is a story about acting custom the marriage for each other's planet. <END>
174,Elf Lucy는 겨울 이벤트 때 다시 판매하기로 했으니 그때 구매하면 될 것 같아.,You can buy Elf Lucy when it will be available in the winter event. <END>
175,EMAPI를 통하여 멀티에이전트 항목을 적용하면 에러가 발생합니다.,Error occurs when I apply contents Multi-Agent through EMAPI. <END>
176,EMS에 문의해 본 결과 미국에 많은 물품들이 배송되고 있어서 배송이 지연되고 있다고 합니다.,"According to EMS, the delivery is getting delayed as many products are getting delivered to the US. <END>"
177,EXO ‘파워'는 한국 최초로 두바이 분수쇼 음악으로 선정되었는데요.,It was more spectacular and inspiring to see the fantastic fountain show that is set to 'Power.' <END>
178,EXO의 타오가 중국에서 단독 CF를 했었어?,Did Tao from EXO shoot a solo commercial in China? <END>
179,EXO의 리더 수호의 해프닝 gif가 네티즌들의 주목을 모으고 있습니다.,The gif of leader Suho from exo is drawing a lot of attention. <END>
180,EXO의 멤버 찬열을 닮은 아이가 있다며 한국 온라인 커뮤니티에서 화제가 되고 있습니다.,"The online community in Korea was going nuts due to the kid who resembled Chanyeol, a member of EXO. <END>"
181,FedEx 쪽에서 배송 지연이 생긴 것 같습니다.,There must be a shipping delay from FedEx. <END>
182,Fedex에게 받은 통관서류입니다.,This is an entry papers from Fedex. <END>
183,FNI 코리아에 근무하는 한석규입니다.,This is Seok-Gyu Han working in FNI Korea. <END>
184,Focus 3D 푸드 프린터 스펙이 첨부파일에 나온 수치와 같은지 알고 싶습니다.,I'd like to know if the qualification of the Focus 3D food printer is the same as the one written in the attached file. <END>
185,G4S와의 비즈니스를 성사시키기 위해 당신이 생각하는 가격대를 알려주길 바랍니다.,Please tell me the price range in your mind to make business with G4S. <END>
186,GB test에 필요한 원단/컬러별 아이템 정리해서 보내드리니 첨부 파일 확인하시고 참고해 주세요.,"I am sending you the items that are necessary for GB test categorized by fabric and color, so please find an attached file and refer to it. <END>"
187,Gene은 이번 주에 새로운 스킨 색상과 메이크업으로 판매될 예정입니다.,Gene will be sold with new skin color and make-up this week. <END>
188,giftto는 상대의 주소를 몰라도 아주 간단하게 선물을 보낼 수 있습니다.,"Giftto is a very simple way of sending gifts, even if you do not know the other person's address. <END>"
