원문,번역문
샌드위치 하나 주세요.,I would like a sandwich. <END>
너는 몇 시에 학교에 가니?,What time do you go to school? <END>
너는 몇 시에 숙제를 하니?,What time do you do your homework? <END>
일어날 시간이야.,It is time to get up. <END>
잠잘 시간이야.,It's time to go to bed. <END>
운동은 얼마나 자주 하세요?,How often do you exercise? <END>
나는 매일 운동해.,I exercise every day. <END>
나는 일주일에 두 번 운동을 해.,I exercise twice a week. <END>
나는 한달에 한 번 운동을 해.,I exercise once a month. <END>
누가 이 그림을 그렸어요?,Who painted this picture? <END>
누가 문을 열었니?,Who opened the door? <END>
누가 바이올린을 연주했니?,Who played the violin? <END>
너는 왜 행복하니?,Why are you happy? <END>
왜냐하면 나는 새 자전거를 샀기 때문이다.,Because I bought a new bike. <END>
왜냐하면 새 카메라가 생겼기 때문이야.,Because I got a new camera. <END>
왜 화났어?,Why are you upset? <END>
왜냐하면 여동생이 내 시계를 망가뜨렸기 때문이야.,Because my sister broke my watch. <END>
왜 슬퍼하나요?,Why are you sad? <END>
왜 피곤해?,Why are you tired? <END>
어느 쪽이 더 크니?,Which is taller? <END>
기린은 호랑이보다 크다.,A giraffe is taller than a tiger. <END>
캥거루는 토끼보다 크다.,A kangaroo is bigger than a rabbit. <END>
사자는 원숭이보다 강하다.,A lion is stronger than a monkey. <END>
그 곰은 사슴보다 나이가 많다.,The bear is older than the deer. <END>
우리는 왜 종이를 재활용해야 하나요?,Why should we recycle paper? <END>
우리는 왜 플라스틱병을 재활용해야 하나요?,Why should we recycle plastic bottles? <END>
왜냐하면 우리는 우리의 환경을 살릴 수 있기 때문이에요.,Because we can save our environment. <END>
너 초밥에 대해 아는 거 있니?,Do you know anything about sushi? <END>
일본의 전통 음식이다.,It is a traditional Japanese dish. <END>
저는 모르겠어요.,I have no idea. <END>
당신은 무엇이 되고 싶습니까?,What do you want to be? <END>
과학자가 될 거예요.,I want to be a scientist. <END>
나는 경찰이 되고 싶다.,I want to be a police officer. <END>
나는 치과의사가 되고 싶어.,I want to be a dentist. <END>
